id,match_id,username,emoji,created_at
A-0-1_Ramin_💔,A-0-1,Ramin,💔,2026-05-29T03:07:12.266098+00:00
A-0-1_Art_💔,A-0-1,Art,💔,2026-06-01T03:48:26.255997+00:00
A-0-1_Narek_💔,A-0-1,Narek,💔,2026-06-11T00:05:15.933626+00:00
A-0-1_Sev_💔,A-0-1,Sev,💔,2026-06-11T04:49:33.291068+00:00
A-0-1_Arno Najarian_💔,A-0-1,Arno Najarian,💔,2026-06-11T05:30:29.173978+00:00
A-0-1_Verj_💔,A-0-1,Verj,💔,2026-06-11T22:20:50.572494+00:00
A-0-2_Narek_🔥,A-0-2,Narek,🔥,2026-06-12T00:16:51.683036+00:00
A-0-1_Edwin N_💔,A-0-1,Edwin N,💔,2026-06-12T05:38:56.32816+00:00
A-1-3_Narek_🔥,A-1-3,Narek,🔥,2026-06-13T05:22:38.895441+00:00
B-0-3_Narek_💔,B-0-3,Narek,💔,2026-06-13T05:22:54.41949+00:00
B-1-2_Narek_😱,B-1-2,Narek,😱,2026-06-13T21:05:41.929888+00:00
